3 month bad;6 month bad;1 year bad;3 month good;6 month good;1 year good
0,826086957;0,891304348;1,108695652;0,84;0,821333333;0,733333333
0,663185379;0,704960836;0,772845953;1,269581056;1,408014572;1,402550091
;;0,917241379;0,971638655;1,030462185;0,987394958
0,904015671;0,82761998;0,7208619;0,933774834;0,699337748;0,558940397
1,31372549;1,411764706;1,352941176;0,924581006;0,938547486;0,797486034
1,12293578;1,313761468;1,108256881;0,975635593;0,947033898;0,997881356
1,175895765;1,173941368;1,056026059;1,062706271;1,082508251;0,99669967
;0,75152439;0,786585366;0,770512821;0,743589744;0,725641026
0,913793103;0,775862069;0,827586207;0,874242424;0,834848485;0,781818182
0,819672131;0,704918033;0,819672131;0,6;0,777777778;0,777777778
1,243902439;;;0,639269406;;0,607305936
1,166666667;;1,654761905;;;1,452830189
0,785440613;0,720306513;0,704980843;1,043609023;1,168421053;1,228571429
1;1;1;0,914285714;0,914285714;0,828571429
0,88372093;0,953488372;1,372093023;0,842105263;0,842105263;0,842105263
0,964679912;0,947019868;0,896247241;1,02792696;0,981740064;0,993555317
;;0,832520325;1,075;1,075;1,15
0,986597938;0,937113402;0,863917526;1,266467066;1,074850299;0,929640719
1,264150943;1,509433962;1,056603774;1;;0,945945946
1,117857143;1,317857143;1,185714286;0,674074074;0,728395062;0,664197531
1,095192308;1,270192308;1,571153846;1,25;0,875;0,875
;0,702265372;0,580906149;0,625514403;0,648148148;0,66255144
0,901639344;0,819672131;0,918032787;0,852911134;0,804902962;0,670071502
0,918032787;0,786885246;0,786885246;1,257861635;1,291404612;1,727463312
1,348516949;;;0,91190253;0,985004686;0,952202437
1;;1,448979592;0,971014493;0,861660079;0,760210804
0,372413793;0,286206897;0,294827586;0,941678521;0,945945946;0,833570413
0,84375;0,84375;1;1,033232628;0,939577039;1,063444109
0,934782609;1;1,47826087;1,037151703;1,027863777;1,003095975
0,903409091;0,991477273;1,019886364;0,803351955;0,774301676;0,708379888
;;1,019959267;0,969740634;0,949567723;0,818443804
1,282916213;1,09031556;0,98476605;0,642857143;0,69047619;0,761904762
1,9375;2,333333333;1,4375;1,248157248;;1,152334152
1,440721649;1,577319588;1,443298969;;;1,581818182
1,186906019;1,197465681;1,432946146;0,8488228;0,935563817;1,021065675
;0,771378709;0,647469459;0,8;0,875;0,8
0,892857143;0,946428571;1,053571429;1,157894737;1,157894737;1,578947368
0,862068966;0,775862069;0,775862069;0,99127182;1,124688279;1,144638404
1,324516785;;;1,325;1,4;1,4
1,280701754;;2,052631579;1,042007001;0,796966161;0,72462077
0,567862715;0,68798752;0,319812793;1,11627907;;1,046511628
1;0,931034483;0,931034483;0,854304636;0,741721854;0,754966887
1,111111111;1,203703704;1,407407407;1,150943396;0,905660377;0,849056604
0,721590909;0,744318182;0,730113636;0,738041002;0,685649203;0,749430524
;;1,087317073;0,853009259;0,878472222;0,743055556
0,97965412;0,91353001;0,834181078;1,968858131;1,930795848;1,958477509
2,11627907;2,046511628;1,604651163;0,914539401;0,99445061;1,02663707
1,144578313;1,22439759;1,167168675;0,943770673;0,873208379;0,770672547
1,118589744;1,104700855;0,990384615;0,957142857;0,962337662;0,845454545
;0,75170068;0,75;1,097188755;1,009638554;1,065060241
0,948275862;1;1,24137931;0,810731707;0,829268293;0,822439024
1;0,849056604;0,849056604;0,746428571;0,742857143;0,694047619
1,230256898;;;0,949880668;0,900954654;0,803102625
1,333333333;;2;0,777777778;0,644444444;0,822222222
0,715217391;0,902173913;0,906521739;0,744186047;;0,744186047
1;1,103448276;0,827586207;;;1,5
1,148148148;1,351851852;1,648148148;0,824489796;0,795918367;0,828571429
0,780327869;0,885245902;0,816393443;0,931034483;1,103448276;1,206896552
;;0,985743381;0,88372093;0,744186047;0,744186047
1,065834279;1,019296254;0,979568672;1,230409357;1,243274854;1,246783626
1,558139535;1,488372093;1,604651163;1,11627907;1,186046512;1,255813953
1,143780291;1,384491115;1,300484653;0,857552581;0,705544933;0,658699809
1,005382131;1,173304629;0,871905274;1,104166667;;1
;0,896381579;1,011513158;0,682051282;0,717948718;0,68974359
